
Predicate	sprc	m68k
wm_abort	--	rts.68k
wm_arg	functor.sprc	functor.68k
wm_arrow	call.sprc	call.68k
wm_atom	atomic.sprc	atomic.68k
wm_atomic	atomic.sprc	atomic.68k
wm_call	call.sprc	call.68k
wm_catch22	interface.sprc	rts.68k
wm_colon	call.sprc	call.68k
wm_comma	call.sprc	call.68k
wm_compare	compare.sprc	compare.68k
wm_cut	cut.sprc	call.68k
wm_dbg_call	call.sprc	call.68k
wm_docut	cut.sprc	cut.68k
wm_eq	atomic.sprc	atomic.68k
wm_exec	interface.sprc	rts.68k
wm_exec_builtinN	interface.sprc	--
wm_execute_builtin	--	rts.68k
wm_fail	interface.sprc	rts.68k
wm_float	atomic.sprc	atomic.68k
wm_functor	functor.sprc	functor.68k
wm_g_int	unify.sprc	rts.68k
wm_g_sym	unify.sprc	rts.68k
wm_g_uia	unify.sprc	rts.68k
wm_identical	ident.sprc	ident.68k
wm_integer	atomic.sprc	atomic.68k
wm_jump	call.sprc	call.68k
wm_mangle	functor.sprc	functor.68k
wm_nciadc	chpt.sprc	rts.68k
wm_noneq	atomic.sprc	atomic.68k
wm_nonidentical	ident.sprc	ident.68k
wm_nonvar	atomic.sprc	atomic.68k
wm_number	atomic.sprc	atomic.68k
wm_ocall	call.sprc	call.68k
wm_overflow	--	interrupt.68k
wm_overflowN	interface.sprc	--
wm_p_uia	unify.sprc	rts.68k
wm_p_unsafe	unify.sprc	rts.68k
wm_resolve_ref	interface.sprc	rts.68k
wm_retry	--	rts.68k
wm_retry_me	--	rts.68k
wm_rungoal	interface.sprc	rts.68k
wm_semicolon	call.sprc	call.68k
wm_sio_gbyte	sio.sprc	sio.68k
wm_sio_pbyte	--	sio.68k
wm_sw_const	chpt.sprc	rts.68k
wm_sw_struct	chpt.sprc	rts.68k
wm_throw	interface.sprc	rts.68k
wm_trust	--	rts.68k
wm_trust0	chpt.sprc	--
wm_trust1	chpt.sprc	--
wm_trust2	chpt.sprc	--
wm_trust3	chpt.sprc	--
wm_trustN	chpt.sprc	--
wm_trust_fail	chpt.sprc	rts.68k
wm_trust_me	--	rts.68k
wm_trust_u0	chpt.sprc	--
wm_trust_u1	chpt.sprc	--
wm_trust_u2	chpt.sprc	--
wm_trust_u3	chpt.sprc	--
wm_try	--	rts.68k
wm_try0	chpt.sprc	--
wm_try2	chpt.sprc	--
wm_try3	chpt.sprc	--
wm_try_me	--	rts.68k
wm_u_int	unify.sprc	--
wm_u_lval	unify.sprc	rts.68k
wm_u_sym	unify.sprc	--
wm_unify	unify.sprc	rts.68k
wm_var	atomic.sprc	atomic.68k

