Exported & Documented Builtins Predicates by Builtins File - 2019/7/1

BltFile       Predicate                MD File                 Module    MdFileTitle             
=======       =========                =======                 ======    ===========             
blt_atom.pro  number_chars/2           number_chars.md         builtins  number_chars/2          
blt_atom.pro  number_codes/2           number_chars.md         builtins  number_chars/2          
blt_atom.pro  sub_atom/5               sub_atom.md             builtins  sub_atom/5              
blt_atom.pro  term_chars/2             term_chars.md           builtins  term_chars/2            
blt_atom.pro  term_codes/2             term_chars.md           builtins  term_chars/2            
blt_cslt.pro  consult/1                consult.md              builtins  consult/[1,2]           
blt_cslt.pro  consult/2                consult.md              builtins  consult/[1,2]           
blt_cslt.pro  reconsult/1              consult.md              builtins  consult/[1,2]           
blt_ctl.pro   bagof/3                  setof.md                builtins  setof/3                 
blt_ctl.pro   copy_term/2              copy_term.md            builtins  copy_term/2             
blt_ctl.pro   findall/3                setof.md                builtins  setof/3                 
blt_ctl.pro   keysort/2                sort.md                 builtins  sort/2                  
blt_ctl.pro   repeat/0                 repeat.md               builtins  repeat/0                
blt_ctl.pro   setof/3                  setof.md                builtins  setof/3                 
blt_curl.pro  curl/1                   curl.md                 curl      curl/[1,2,3]            
blt_curl.pro  curl/2                   curl.md                 curl      curl/[1,2,3]            
blt_curl.pro  curl/3                   curl.md                 curl      curl/[1,2,3]            
blt_curl.pro  http/3                   curl.md                 curl      curl/[1,2,3]            
blt_dvsh.pro  halt/0                   halt.md                 builtins  halt/0                  
blt_flgs.pro  current_prolog_flag/2    current_prolog_flag.md  builtins  current_prolog_flag/2   
blt_flgs.pro  set_prolog_flag/2        current_prolog_flag.md  builtins  current_prolog_flag/2   
blt_io.pro    bufread/2                buf_read.md             builtins  bufread/[2,3]           
blt_io.pro    bufread/3                buf_read.md             builtins  bufread/[2,3]           
blt_io.pro    bufwrite/2               sprintf.md              builtins  sprintf/3               
blt_io.pro    bufwriteq/2              sprintf.md              builtins  sprintf/3               
blt_io.pro    old_bufread/2            buf_read.md             builtins  bufread/[2,3]           
blt_io.pro    printf/1                 printf.md               builtins  printf/[1,2,3,4]        
blt_io.pro    printf/2                 printf.md               builtins  printf/[1,2,3,4]        
blt_io.pro    printf/3                 printf.md               builtins  printf/[1,2,3,4]        
blt_io.pro    printf/4                 printf.md               builtins  printf/[1,2,3,4]        
blt_io.pro    printf_opt/3             printf.md               builtins  printf/[1,2,3,4]        
blt_io.pro    sprintf/3                sprintf.md              builtins  sprintf/3               
blt_is.pro    is/2                     is.md                   builtins  is/2                    
blt_pckg.pro  save_image/2             save_image.md           builtins  save_image/2            
blt_shl.pro   abort/0                  abort.md                builtins  abort/0                 
blt_std.pro   instance/2               clause.md               builtins  clause/[2,3]            
blt_std.pro   listing/0                listing.md              builtins  listing/0               
blt_std.pro   listing/1                listing.md              builtins  listing/0               
blt_std.pro   statistics/2             statistics.md           builtins  statistics/[0,2]        
blt_sys.pro   all_ntbl_entries/4       procedures.md           builtins  procedures/4            
blt_sys.pro   all_procedures/4         procedures.md           builtins  procedures/4            
blt_sys.pro   halt/0                   halt.md                 builtins  halt/0                  
blt_sys.pro   modules/2                curmod.md               builtins  curmod/1                
blt_sys.pro   notrace/0                trace.md                debugger  trace/[0,1]             
blt_sys.pro   procedures/4             procedures.md           builtins  procedures/4            
blt_sys.pro   statistics/0             statistics.md           builtins  statistics/[0,2]        
blt_term.pro  ==/2                     identity.md             builtins  ==/2                    
blt_term.pro  @</2                     canonorder.md           builtins  @=</2                   
blt_term.pro  @=</2                    canonorder.md           builtins  @=</2                   
blt_term.pro  @>/2                     canonorder.md           builtins  @=</2                   
blt_term.pro  @>=/2                    canonorder.md           builtins  @=</2                   
blt_term.pro  \=/2                     unify.md                builtins  =/2                     
blt_term.pro  \==/2                    identity.md             builtins  ==/2                    
blt_term.pro  append/3                 append.md               builtins  append/3                
blt_term.pro  dreverse/2               reverse.md              builtins  reverse/2               
blt_term.pro  length/2                 length.md               builtins  length/2                
blt_term.pro  member/2                 member.md               builtins  member/2                
blt_term.pro  reverse/2                reverse.md              builtins  reverse/2               
blt_term.pro  sort/2                   sort.md                 builtins  sort/2                  
builtins.pro  als_system/1             als_system.md           builtins  als_system/1            
builtins.pro  catch/3                  catch.md                builtins  catch/3                 
builtins.pro  command_line/1           command_line.md         builtins  command_line/1          
builtins.pro  compiletime/0            compiletime.md          builtins  compiletime/0           
builtins.pro  exists_file/1            exists_file.md          builtins  exists_file/1           
builtins.pro  getPrologInterrupt/1     setPrologInterrupt.md   builtins  setPrologInterrupt/1    
builtins.pro  module_closure/2         module_closure.md       builtins  module_closure/[2,3]    
builtins.pro  module_closure/3         module_closure.md       builtins  module_closure/[2,3]    
builtins.pro  setPrologInterrupt/1     setPrologInterrupt.md   builtins  setPrologInterrupt/1    
builtins.pro  sys_env/3                als_system.md           builtins  als_system/1            
builtins.pro  throw/1                  catch.md                builtins  catch/3                 
cutils.pro    c_alloc/2                c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_alloc_abs/2            c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_allocn/3               c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_allocn_abs/3           c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_call/3                 c_create.md             builtins  c_create/3              
cutils.pro    c_const/2                c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_create/3               c_create.md             builtins  c_create/3              
cutils.pro    c_create_abs/3           c_create.md             builtins  c_create/3              
cutils.pro    c_createn/4              c_create.md             builtins  c_create/3              
cutils.pro    c_createn_abs/4          c_create.md             builtins  c_create/3              
cutils.pro    c_examine/3              c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_examine_raw/4          c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_examine_str/4          c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_examinen/4             c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_free/1                 c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_free_abs/1             c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_free_arglist/1         c_create.md             builtins  c_create/3              
cutils.pro    c_rconst/2               c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_set/3                  c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_set_raw/4              c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_set_str/4              c_alloc.md              builtins  c_alloc/[2,3]           
cutils.pro    c_setn/4                 c_alloc.md              builtins  c_alloc/[2,3]           
debugger.pro  leash/1                  leash.md                debugger  leash/1                 
debugger.pro  nospy/0                  spy.md                  debugger  spy/[0,1]               
debugger.pro  nospy/1                  spy.md                  debugger  spy/[0,1]               
debugger.pro  spy/0                    spy.md                  debugger  spy/[0,1]               
debugger.pro  spy/1                    spy.md                  debugger  spy/[0,1]               
debugger.pro  trace/0                  trace.md                debugger  trace/[0,1]             
debugger.pro  trace/1                  trace.md                debugger  trace/[0,1]             
fs_cmn.pro    canon_path/2             get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    change_cwd/1             get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    date/1                   datetime.md             builtins  datetime/2              
fs_cmn.pro    date_less/2              datetime.md             builtins  datetime/2              
fs_cmn.pro    date_pattern/4           datetime.md             builtins  datetime/2              
fs_cmn.pro    datetime/2               datetime.md             builtins  datetime/2              
fs_cmn.pro    datetime_less/2          datetime.md             builtins  datetime/2              
fs_cmn.pro    filename_equal/2         get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    getDirEntries/3          get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    get_cwd/1                get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    gm_datetime/2            datetime.md             builtins  datetime/2              
fs_cmn.pro    must_exist_file/1        get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    remove_file/1            get_cwd.md              builtins  get_cwd/1               
fs_cmn.pro    set_date_pattern/1       datetime.md             builtins  datetime/2              
fs_cmn.pro    time/1                   datetime.md             builtins  datetime/2              
fs_cmn.pro    time_less/2              datetime.md             builtins  datetime/2              
fsdos.pro     date/1                   datetime.md             builtins  datetime/2              
fsdos.pro     time/1                   datetime.md             builtins  datetime/2              
objs_run.pro  accessObjStruct/3        setObjStruct.md         builtins  setObjStruct/3          
objs_run.pro  setObjStruct/3           setObjStruct.md         builtins  setObjStruct/3          
simplio.pro   encode_list/3            listutl3.md             builtins  number_list/3           
sio.pro       at_end_of_stream/0       at_end_of_stream.md     sio       at_end_of_stream/[0,1]  
sio.pro       at_end_of_stream/1       at_end_of_stream.md     sio       at_end_of_stream/[0,1]  
sio.pro       close/1                  close.md                sio       close/1                 
sio.pro       close/2                  close.md                sio       close/1                 
sio.pro       current_input/1          current_input.md        sio       current_input/1         
sio.pro       current_output/1         current_input.md        sio       current_input/1         
sio.pro       flush_input/1            flush_input.md          sio       flush_input/1           
sio.pro       flush_output/0           flush_output.md         sio       flush_output/[0,1]      
sio.pro       flush_output/1           flush_output.md         sio       flush_output/[0,1]      
sio.pro       get_char/1               get_char.md             sio       get_char/[1,2]          
sio.pro       get_char/2               get_char.md             sio       get_char/[1,2]          
sio.pro       get_code/1               get_code.md             sio       get_code/[1,2]          
sio.pro       get_code/2               get_code.md             sio       get_code/[1,2]          
sio.pro       open/3                   open.md                 sio       open/[3,4]              
sio.pro       open/4                   open.md                 sio       open/[3,4]              
sio.pro       peek_code/1              peek_code.md            sio       peek_code/[1,2]         
sio.pro       peek_code/2              peek_code.md            sio       peek_code/[1,2]         
sio.pro       poll/2                   poll.md                 sio       poll/2                  
sio.pro       put_atom/1               put_atom.md             sio       put_atom/[1,2]          
sio.pro       put_atom/2               put_atom.md             sio       put_atom/[1,2]          
sio.pro       put_char/1               put_char.md             sio       put_char/[1,2]          
sio.pro       put_char/2               put_char.md             sio       put_char/[1,2]          
sio.pro       put_code/1               put_code.md             sio       put_code/[1,2]          
sio.pro       put_code/2               put_code.md             sio       put_code/[1,2]          
sio.pro       put_string/1             put_string.md           sio       put_string/[1,2]        
sio.pro       put_string/2             put_string.md           sio       put_string/[1,2]        
sio.pro       rexec/2                  rexec.md                sio       rexec/2                 
sio.pro       set_depth_computation/2  set_line_length.md      sio       set_line_length/2       
sio.pro       set_input/1              set_input.md            sio       set_input/1             
sio.pro       set_line_length/2        set_line_length.md      sio       set_line_length/2       
sio.pro       set_output/1             set_input.md            sio       set_input/1             
sio.pro       set_stream_position/2    set_stream_position.md  sio       set_stream_position/2   
sio.pro       stream_property/2        stream_property.md      sio       stream_property/2       
sio_d10.pro   display/1                write.md                sio       write/[1,2]             
sio_d10.pro   get/1                    get.md                  sio       get0/1                  
sio_d10.pro   get0/1                   get.md                  sio       get0/1                  
sio_d10.pro   put/1                    put.md                  sio       put/1                   
sio_d10.pro   see/1                    see.md                  sio       see/1                   
sio_d10.pro   seeing/1                 see.md                  sio       see/1                   
sio_d10.pro   seen/0                   see.md                  sio       see/1                   
sio_d10.pro   tab/1                    put.md                  sio       put/1                   
sio_d10.pro   tell/1                   tell.md                 sio       tell/1                  
sio_d10.pro   telling/1                tell.md                 sio       tell/1                  
sio_d10.pro   told/0                   tell.md                 sio       tell/1                  
sio_d10.pro   ttyflush/0               ttyflush.md             sio       ttyflush/0              
sio_rt.pro    current_op/3             current_op.md           sio       current_op/3            
sio_rt.pro    op/3                     op.md                   sio       op/3                    
sio_rt.pro    read/1                   read.md                 sio       read/[1,2]              
sio_rt.pro    read/2                   read.md                 sio       read/[1,2]              
sio_rt.pro    read_term/2              read.md                 sio       read/[1,2]              
sio_rt.pro    read_term/3              read.md                 sio       read/[1,2]              
sio_wt.pro    write/1                  write.md                sio       write/[1,2]             
sio_wt.pro    write/2                  write.md                sio       write/[1,2]             
sio_wt.pro    write_canonical/1        write.md                sio       write/[1,2]             
sio_wt.pro    write_canonical/2        write.md                sio       write/[1,2]             
sio_wt.pro    write_term/2             write.md                sio       write/[1,2]             
sio_wt.pro    write_term/3             write.md                sio       write/[1,2]             
