Exported & Documented Builtins Predicates by MD File - 2019/7/1

MD File                 Predicate                BltFile       Module    MdFileTitle             
=======                 =========                =======       ======    ===========             
abort.md                abort/0                  blt_shl.pro   builtins  abort/0                 
als_system.md           als_system/1             builtins.pro  builtins  als_system/1            
als_system.md           sys_env/3                builtins.pro  builtins  als_system/1            
append.md               append/3                 blt_term.pro  builtins  append/3                
at_end_of_stream.md     at_end_of_stream/0       sio.pro       sio       at_end_of_stream/[0,1]  
at_end_of_stream.md     at_end_of_stream/1       sio.pro       sio       at_end_of_stream/[0,1]  
buf_read.md             bufread/2                blt_io.pro    builtins  bufread/[2,3]           
buf_read.md             bufread/3                blt_io.pro    builtins  bufread/[2,3]           
buf_read.md             old_bufread/2            blt_io.pro    builtins  bufread/[2,3]           
c_alloc.md              c_alloc/2                cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_alloc_abs/2            cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_allocn/3               cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_allocn_abs/3           cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_const/2                cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_examine/3              cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_examine_raw/4          cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_examine_str/4          cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_examinen/4             cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_free/1                 cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_free_abs/1             cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_rconst/2               cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_set/3                  cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_set_raw/4              cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_set_str/4              cutils.pro    builtins  c_alloc/[2,3]           
c_alloc.md              c_setn/4                 cutils.pro    builtins  c_alloc/[2,3]           
c_create.md             c_call/3                 cutils.pro    builtins  c_create/3              
c_create.md             c_create/3               cutils.pro    builtins  c_create/3              
c_create.md             c_create_abs/3           cutils.pro    builtins  c_create/3              
c_create.md             c_createn/4              cutils.pro    builtins  c_create/3              
c_create.md             c_createn_abs/4          cutils.pro    builtins  c_create/3              
c_create.md             c_free_arglist/1         cutils.pro    builtins  c_create/3              
canonorder.md           @</2                     blt_term.pro  builtins  @=</2                   
canonorder.md           @=</2                    blt_term.pro  builtins  @=</2                   
canonorder.md           @>/2                     blt_term.pro  builtins  @=</2                   
canonorder.md           @>=/2                    blt_term.pro  builtins  @=</2                   
catch.md                catch/3                  builtins.pro  builtins  catch/3                 
catch.md                throw/1                  builtins.pro  builtins  catch/3                 
clause.md               instance/2               blt_std.pro   builtins  clause/[2,3]            
close.md                close/1                  sio.pro       sio       close/1                 
close.md                close/2                  sio.pro       sio       close/1                 
command_line.md         command_line/1           builtins.pro  builtins  command_line/1          
compiletime.md          compiletime/0            builtins.pro  builtins  compiletime/0           
consult.md              consult/1                blt_cslt.pro  builtins  consult/[1,2]           
consult.md              consult/2                blt_cslt.pro  builtins  consult/[1,2]           
consult.md              reconsult/1              blt_cslt.pro  builtins  consult/[1,2]           
copy_term.md            copy_term/2              blt_ctl.pro   builtins  copy_term/2             
curl.md                 curl/1                   blt_curl.pro  curl      curl/[1,2,3]            
curl.md                 curl/2                   blt_curl.pro  curl      curl/[1,2,3]            
curl.md                 curl/3                   blt_curl.pro  curl      curl/[1,2,3]            
curl.md                 http/3                   blt_curl.pro  curl      curl/[1,2,3]            
curmod.md               modules/2                blt_sys.pro   builtins  curmod/1                
current_input.md        current_input/1          sio.pro       sio       current_input/1         
current_input.md        current_output/1         sio.pro       sio       current_input/1         
current_op.md           current_op/3             sio_rt.pro    sio       current_op/3            
current_prolog_flag.md  current_prolog_flag/2    blt_flgs.pro  builtins  current_prolog_flag/2   
current_prolog_flag.md  set_prolog_flag/2        blt_flgs.pro  builtins  current_prolog_flag/2   
datetime.md             date/1                   fs_cmn.pro    builtins  datetime/2              
datetime.md             date/1                   fsdos.pro     builtins  datetime/2              
datetime.md             date_less/2              fs_cmn.pro    builtins  datetime/2              
datetime.md             date_pattern/4           fs_cmn.pro    builtins  datetime/2              
datetime.md             datetime/2               fs_cmn.pro    builtins  datetime/2              
datetime.md             datetime_less/2          fs_cmn.pro    builtins  datetime/2              
datetime.md             gm_datetime/2            fs_cmn.pro    builtins  datetime/2              
datetime.md             set_date_pattern/1       fs_cmn.pro    builtins  datetime/2              
datetime.md             time/1                   fs_cmn.pro    builtins  datetime/2              
datetime.md             time/1                   fsdos.pro     builtins  datetime/2              
datetime.md             time_less/2              fs_cmn.pro    builtins  datetime/2              
exists_file.md          exists_file/1            builtins.pro  builtins  exists_file/1           
flush_input.md          flush_input/1            sio.pro       sio       flush_input/1           
flush_output.md         flush_output/0           sio.pro       sio       flush_output/[0,1]      
flush_output.md         flush_output/1           sio.pro       sio       flush_output/[0,1]      
get.md                  get/1                    sio_d10.pro   sio       get0/1                  
get.md                  get0/1                   sio_d10.pro   sio       get0/1                  
get_char.md             get_char/1               sio.pro       sio       get_char/[1,2]          
get_char.md             get_char/2               sio.pro       sio       get_char/[1,2]          
get_code.md             get_code/1               sio.pro       sio       get_code/[1,2]          
get_code.md             get_code/2               sio.pro       sio       get_code/[1,2]          
get_cwd.md              canon_path/2             fs_cmn.pro    builtins  get_cwd/1               
get_cwd.md              change_cwd/1             fs_cmn.pro    builtins  get_cwd/1               
get_cwd.md              filename_equal/2         fs_cmn.pro    builtins  get_cwd/1               
get_cwd.md              getDirEntries/3          fs_cmn.pro    builtins  get_cwd/1               
get_cwd.md              get_cwd/1                fs_cmn.pro    builtins  get_cwd/1               
get_cwd.md              must_exist_file/1        fs_cmn.pro    builtins  get_cwd/1               
