Undocumented But Exported Builtins Predicates by Builtins File - 2019/7/1

Predicate     BltFile                            
=========     =======                            
blt_als.pro   list_asm/1                         
blt_atom.pro  atom_concat/3                      
blt_atom.pro  sub_atom/4                         
blt_cslt.pro  discontiguous/1                    
blt_cslt.pro  ensure_loaded/1                    
blt_cslt.pro  include/1                          
blt_cslt.pro  multifile/1                        
blt_ctl.pro   once/1                             
blt_db.pro    abolish_module/1                   
blt_db.pro    assert_each/2                      
blt_db.pro    create_new_module/1                
blt_db.pro    doexport/1                         
blt_db.pro    douse/1                            
blt_db.pro    export_from/2                      
blt_db.pro    from(Mod, PredAs                   
blt_db.pro    hash_create/1                      
blt_db.pro    hash_delete/3                      
blt_db.pro    hash_delete_multi/3                
blt_db.pro    hash_delete_pattern/3              
blt_db.pro    hash_elements/3                    
blt_db.pro    hash_insert/3                      
blt_db.pro    hash_insert_multi/3                
blt_db.pro    hash_lookup/3                      
blt_db.pro    make_hash_framework/3              
blt_db.pro    use_by_mod/2                       
blt_evt.pro   atom_ok/1                          
blt_evt.pro   break_on/3, break_off/3            
blt_evt.pro   char_list_ok/1                     
blt_evt.pro   code_list_ok/1                     
blt_evt.pro   domain_error/3                     
blt_evt.pro   existence_error/3                  
blt_evt.pro   instantiation_error/1              
blt_evt.pro   integer_ok/1                       
blt_evt.pro   nonvar_ok/1                        
blt_evt.pro   number_ok/1                        
blt_evt.pro   permission_error/4                 
blt_evt.pro   propagate_event/3                  
blt_evt.pro   resource_error/2                   
blt_evt.pro   set_event_handler/2                
blt_evt.pro   system_error/1                     
blt_evt.pro   trigger_event/2                    
blt_evt.pro   type_error/3                       
blt_evt.pro   var_ok/1                           
blt_evt.pro   var_or_atom_ok/1                   
blt_evt.pro   var_or_integer_ok/1                
blt_evt.pro   var_or_nonneg_integer_ok/1         
blt_evt.pro   var_or_number_ok/1                 
blt_frez.pro  exhibit_var/1                      
blt_frez.pro  exhibit_var/2                      
blt_frez.pro  freeze/3                           
blt_frez.pro  freeze_list_ground/3               
blt_frez.pro  show_delay_binding/4               
blt_frez.pro  show_v_list/1                      
blt_frez.pro  show_v_list/2                      
blt_frez.pro  show_variable/1                    
blt_frez.pro  show_variable/2                    
blt_misc.pro  setup_cmd_line/0                   
blt_msg.pro   als_advise/1                       
blt_msg.pro   als_advise/2                       
blt_msg.pro   als_advise/3                       
blt_msg.pro   decode_error/4                     
blt_msg.pro   expand_code/3                      
blt_msg.pro   prolog_system_error/2              
blt_msg.pro   prolog_system_error/3              
blt_msg.pro   prolog_system_error/4              
blt_msg.pro   prolog_system_warning/2            
blt_msg.pro   prolog_system_warning/3            
blt_msg.pro   prolog_system_warning/4            
blt_shl.pro   als_exec/2                         
blt_shl.pro   do_shell_query2/2                  
blt_shl.pro   init_prolog_shell/6                
